sdName,sggName,office,office_type,sgTypecode,의원정수,등록후보수,경쟁률,무투표당선여부,무투표판정기준,비례대표_단일정당명부여부,등록미달여부,경쟁률_1미만여부,해당선거구_후보huboid_리스트,해당선거구_후보명_리스트,해당선거구_정당_리스트,체납이력_후보수,현체납_후보수,전과공개_후보수,공직검증전과_후보수,공직선거법전과_후보수,체납+공직검증전과_동시보유_후보수,검증위험_플래그,district_key
서울특별시,강동구다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100157928, 100160880","박원서, 문현섭","더불어민주당, 국민의힘",2,0,1,0,0,0,Y,6|서울특별시|강동구다선거구
서울특별시,구로구라선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100161710, 100156021","조미향, 전미숙","더불어민주당, 국민의힘",0,0,1,1,1,0,Y,6|서울특별시|구로구라선거구
서울특별시,구로구마선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100160920, 100162196","김철수, 김철수","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|서울특별시|구로구마선거구
서울특별시,마포구가선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100157546, 100165316","장덕준, 강수영","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|서울특별시|마포구가선거구
서울특별시,성북구사선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100154801, 100165066","김규일, 정기혁","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|서울특별시|성북구사선거구
서울특별시,양천구다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164828, 100162002","유영주, 이인락","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|서울특별시|양천구다선거구
서울특별시,양천구사선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100155899, 100162541","홍성순, 임옥연","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,6|서울특별시|양천구사선거구
서울특별시,양천구아선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100161373, 100162726","곽고은, 최혜숙","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,6|서울특별시|양천구아선거구
서울특별시,영등포구다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100156373, 100163407","김길자, 이규선","더불어민주당, 국민의힘",1,0,1,1,0,0,Y,6|서울특별시|영등포구다선거구
서울특별시,영등포구마선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100156076, 100162839","박미영, 황진환","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,6|서울특별시|영등포구마선거구
서울특별시,영등포구바선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100155789, 100162692","김태호, 우경란","더불어민주당, 국민의힘",1,0,1,0,0,0,Y,6|서울특별시|영등포구바선거구
서울특별시,은평구나선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100162902, 100160557","송영창, 노승한","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|서울특별시|은평구나선거구
서울특별시,은평구바선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100163389, 100160826","신윤경, 장경은","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,6|서울특별시|은평구바선거구
서울특별시,중랑구마선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100163335, 100163259","고강섭, 전경구","더불어민주당, 국민의힘",1,0,1,0,0,0,Y,6|서울특별시|중랑구마선거구
서울특별시,구로구,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164269, 100164718","김현지, 고경희","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,9|서울특별시|구로구
서울특별시,도봉구,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100165072, 100165318","경정화, 하금연","더불어민주당, 국민의힘",1,1,1,1,1,1,Y,9|서울특별시|도봉구
인천광역시,계양구다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100157641, 100165234","박지상, 이상호","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|인천광역시|계양구다선거구
인천광역시,남동구,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164206, 100165142","서주영, 이보라","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,9|인천광역시|남동구
인천광역시,미추홀구,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164702, 100165157","태화순, 김승자","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,9|인천광역시|미추홀구
인천광역시,서구,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164780, 100165115","홍육례, 양환옥","더불어민주당, 국민의힘",1,0,1,1,0,1,Y,9|인천광역시|서구
인천광역시,연수구,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100165832, 100165409","김선아, 김정아","더불어민주당, 국민의힘",2,0,0,0,0,0,Y,9|인천광역시|연수구
전라남도,고흥군라선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100160731, 100160386","박규대, 송종화","더불어민주당, 더불어민주당",0,0,1,1,0,0,Y,6|전라남도|고흥군라선거구
전라남도,신안군라선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100159729, 100159950","강대성, 김용배","더불어민주당, 더불어민주당",0,0,1,1,0,0,Y,6|전라남도|신안군라선거구
전라남도,완도군나선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100161196, 100160943","김세윤, 임원희","더불어민주당, 더불어민주당",1,0,2,1,0,0,Y,6|전라남도|완도군나선거구
전북특별자치도,남원시가선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100156205, 100155716","소태수, 조용수","더불어민주당, 더불어민주당",1,1,0,0,0,0,Y,6|전북특별자치도|남원시가선거구
충청남도,아산시다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164808, 100164671","천철호, 윤원준","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|충청남도|아산시다선거구
충청남도,천안시가선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100162587, 100158098","류제국, 권오중","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|충청남도|천안시가선거구
충청남도,부여군,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164906, 100164257","박세나, 김미영","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,9|충청남도|부여군
충청북도,청주시카선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100155248, 100161448","배성철, 정영석","더불어민주당, 국민의힘",1,0,1,0,0,0,Y,6|충청북도|청주시카선거구
경기도,군포시제4선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100163433,김귀근,더불어민주당,0,0,1,1,0,0,Y,5|경기도|군포시제4선거구
