huboid,name,party,office,region,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,criminal_categories,important_criminal_categories
100162202,안원기,국민의힘,구시군의회의원,충청남도 서산시라선거구,충청남도,서산시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162202,108,11만원,0,공직선거법,공직선거법
100165701,장영선,국민당,광역의원비례,인천광역시 인천광역시,인천광역시,인천광역시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165701,108,11만원,0,사기,사기
100164510,이재화,국민의힘,광역의원비례,충청북도 충청북도,충청북도,충청북도,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164510,108,11만원,0,사기; 횡령,사기; 횡령
100163493,손진걸,더불어민주당,시도의원,경상북도 안동시제3선거구,경상북도,안동시제3선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163493,107,11만원,0,음주·위험운전; 교통사고; 도로교통,음주·위험운전
100162492,이혜숙,국민의힘,구시군의회의원,서울특별시 송파구마선거구,서울특별시,송파구마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162492,107,11만원,0,음주·위험운전; 무면허운전; 교통사고; 도로교통,음주·위험운전; 무면허운전
100163671,강영구,무소속,구시군의회의원,경상북도 예천군나선거구,경상북도,예천군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163671,106,11만원,0,음주·위험운전; 무면허운전; 도로교통,음주·위험운전; 무면허운전
100164719,고화숙,더불어민주당,기초의원비례,인천광역시 부평구,인천광역시,부평구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164719,106,11만원,0,업무방해; 집시법; 모욕,
100154283,한준희,더불어민주당,시도의원,전북특별자치도 군산시제4선거구,전북특별자치도,군산시제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154283,105,11만원,0,교통사고,
100163023,한근수,국민의힘,구시군의회의원,경기도 남양주시나선거구,경기도,남양주시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163023,105,11만원,0,명예훼손,
100154285,고기담,진보당,구시군의회의원,광주광역시 서구라선거구,광주광역시,서구라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154285,105,11만원,0,폭력; 공무집행방해; 업무방해; 주거침입; 도로교통; 집시법,
100161554,김강헌,더불어민주당,시도의원,전남광주통합특별시 영광군제2선거구,전남광주통합특별시,영광군제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161554,103,10만원,0,음주·위험운전; 도로교통,음주·위험운전
