sim_id,강원특별자치도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전북특별자치도,제주특별자치도,충청남도,충청북도
247,D,R,R,R,D,R,R,R,D,R,R,D,D,D,D,R,R
248,R,D,R,R,D,R,D,R,D,R,R,D,D,D,R,R,R
249,D,D,D,R,D,R,D,R,D,D,R,D,D,D,R,D,D
250,R,R,R,R,D,R,R,R,R,R,R,D,D,D,R,R,R
251,R,R,R,R,D,R,R,D,R,D,R,R,D,D,R,R,D
252,D,R,R,R,D,R,R,R,R,D,R,D,D,D,D,R,R
253,R,R,R,R,D,R,D,D,D,R,R,R,D,D,D,R,R
254,D,R,R,R,D,R,R,R,D,D,R,R,D,D,D,D,R
255,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,D,R
256,D,D,R,R,D,R,D,R,D,D,R,D,D,D,D,D,D
257,R,R,R,R,D,R,R,R,D,R,R,R,D,D,R,R,R
258,R,R,R,R,D,R,D,R,R,D,R,D,D,D,R,D,R
259,D,D,D,R,D,R,D,D,D,D,R,D,D,D,D,D,D
260,R,D,R,R,D,R,R,R,D,D,R,R,D,D,R,D,R
261,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,D
262,R,R,R,R,D,R,R,R,D,R,R,R,D,D,R,D,R
263,R,D,R,R,D,R,R,R,R,R,R,D,D,D,D,R,R
264,R,R,R,R,D,R,R,R,R,R,R,D,D,D,D,D,R
265,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,D,D
266,R,R,R,R,D,R,D,R,R,R,R,R,D,D,D,R,R
267,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
268,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,D
269,D,R,R,R,D,R,D,R,R,R,D,R,D,D,D,R,R
270,D,R,R,R,D,R,R,R,D,R,R,R,D,D,D,R,R
271,D,D,R,R,D,R,R,D,R,D,R,R,D,D,D,D,D
272,D,D,D,R,D,D,R,D,D,D,D,D,D,D,D,D,D
273,R,R,R,R,D,R,D,R,D,D,R,D,D,D,D,D,D
274,R,R,R,R,D,R,R,R,R,R,R,D,D,D,R,R,R
275,D,R,R,R,D,R,R,R,D,R,R,D,D,D,R,R,D
276,R,R,R,R,D,R,R,R,D,D,R,D,D,D,D,R,R
277,R,R,R,R,D,R,R,R,D,D,R,D,D,D,D,R,D
278,D,D,R,D,D,R,D,R,D,D,R,D,D,D,D,D,R
279,R,D,R,R,D,R,D,R,R,D,R,R,D,D,D,R,D
280,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
281,R,D,R,R,D,R,D,R,R,D,R,R,D,D,D,R,D
282,R,R,R,R,D,R,R,R,D,R,R,D,D,D,R,D,R
283,D,D,R,R,D,R,R,R,R,R,R,R,D,D,R,D,R
284,R,R,R,R,D,R,R,R,R,D,D,R,D,D,D,R,D
