rank,huboid,name,party,party_short,office,sdName,sggName,region,criminal_record_count,has_criminal_record,ocr_categories,official_vetting_categories,economic_trust_categories,election_integrity_categories,public_admin_categories,tax_public_money_categories,traffic_safety_categories,has_official_vetting_record,has_hard_vetting_record,has_economic_trust_record,has_election_integrity_record,has_public_admin_record,has_tax_public_money_record,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,has_tax_arrears_5y,has_tax_arrears_current,has_money_trust_flag,has_any_vetting_flag,is_uncontested_candidate,job,career1,career2,nec_detail_url,priority_reason
11,100160943,임원희,더불어민주당,민주당,구시군의회의원,전라남도,완도군나선거구,전라남도 완도군나선거구,7,True,"건축·건설·부동산, 공무집행방해, 배임, 환경",배임,배임,,,,,True,True,True,False,False,False,0,0원,0,0원,False,False,True,True,True,수산업인,(전) 더불어민주당 해남완도진도 지역위원회 금일읍 협의회장,,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160943,무투표 당선; 경제·신뢰 전과(배임)
12,100162708,서재원,국민의힘,국힘,시도의원,경상북도,포항시제6선거구,경상북도 포항시제6선거구,4,True,"건축·건설·부동산, 교통사고, 도로교통, 배임, 업무방해, 음주·위험운전, 횡령","배임, 음주·위험운전, 횡령","배임, 횡령",,,,음주·위험운전,True,True,True,False,False,False,0,0원,0,0원,False,False,True,True,True,정당인,(전)포항시의회 8대 의장,(전)포항시청 정무특보,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162708,"무투표 당선; 경제·신뢰 전과(배임, 횡령)"
13,100164219,이종석,더불어민주당,민주당,구시군의회의원,서울특별시,서대문구라선거구,서울특별시 서대문구라선거구,3,True,"도로교통, 사기, 음주·위험운전","사기, 음주·위험운전",사기,,,,음주·위험운전,True,True,True,False,False,False,0,0원,0,0원,False,False,True,True,True,서대문구의회의원,(현)서대문구의회의원,(현)더불어민주당 서대문구의회 원내대표,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164219,무투표 당선; 경제·신뢰 전과(사기)
14,100161391,이우청,국민의힘,국힘,시도의원,경상북도,김천시제2선거구,경상북도 김천시제2선거구,3,True,"뇌물, 폭력",뇌물,뇌물,,,,,True,True,True,False,False,False,0,0원,0,0원,False,False,True,True,True,정당인,(전)제8대 김천시의회의장,(현)경상북도의회의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161391,무투표 당선; 경제·신뢰 전과(뇌물)
15,100163388,이대선,더불어민주당,민주당,구시군의회의원,경기도,수원시라선거구,경기도 수원시라선거구,2,True,"도로교통, 사기, 음주·위험운전","사기, 음주·위험운전",사기,,,,음주·위험운전,True,True,True,False,False,False,0,0원,0,0원,False,False,True,True,True,수원시의회의원,(현)수원시의회의원,(현)더불어민주당 수원시을지역위원회 청년위원회 위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163388,무투표 당선; 경제·신뢰 전과(사기)
16,100160386,송종화,더불어민주당,민주당,구시군의회의원,전라남도,고흥군라선거구,전라남도 고흥군라선거구,2,True,"도로교통, 음주·위험운전, 횡령","음주·위험운전, 횡령",횡령,,,,음주·위험운전,True,True,True,False,False,False,0,0원,0,0원,False,False,True,True,True,사회복지사,(현) 제27대 포두면청년회장,(현) 더불어민주당 고흥보성장흥강진지역위원회 고흥군 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160386,무투표 당선; 경제·신뢰 전과(횡령)
17,100163407,이규선,국민의힘,국힘,구시군의회의원,서울특별시,영등포구다선거구,서울특별시 영등포구다선거구,2,True,"도로교통, 폭력, 횡령",횡령,횡령,,,,,True,True,True,False,False,False,0,0원,0,0원,False,False,True,True,True,정당인,(현)영등포구의원,(전)국민의힘 서울특별시당 부대변인,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163407,무투표 당선; 경제·신뢰 전과(횡령)
18,100165854,이지용,국민의힘,국힘,구시군의회의원,인천광역시,미추홀구가선거구,인천광역시 미추홀구가선거구,2,True,"교통사고, 사기",사기,사기,,,,,True,True,True,False,False,False,36819,"3,681만원",26412,"2,641만원",True,True,True,True,False,자영업자,(현)주안동 261-4번지 재건축 추진위원회 대표자,(전)하은빌라 입주민 동대표 역임,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165854,"경제·신뢰 전과(사기); 최근 5년 체납 3,681만원; 현 체납 2,641만원"
19,100156368,연주현,국민의힘,국힘,구시군의회의원,경기도,구리시나선거구,경기도 구리시나선거구,2,True,"도로교통, 사기, 음주·위험운전","사기, 음주·위험운전",사기,,,,음주·위험운전,True,True,True,False,False,False,25784,"2,578만원",17933,"1,793만원",True,True,True,True,False,공인중개사 ,(현)구리시 충청향우회 회장,(현)구리여자중학교 운영위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156368,"경제·신뢰 전과(사기); 최근 5년 체납 2,578만원; 현 체납 1,793만원"
20,100160016,이의명,더불어민주당,민주당,구시군의회의원,인천광역시,옹진군다선거구,인천광역시 옹진군다선거구,3,True,"뇌물, 특가법, 횡령","뇌물, 특가법, 횡령","뇌물, 횡령",,,,,True,True,True,False,False,False,18079,"1,807만원",17079,"1,707만원",True,True,True,True,False,제9대 옹진군의회 의원,(현)제9대 옹진군의회 의장,(전)제3대 옹진군의회 부의장 ,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160016,"경제·신뢰 전과(뇌물, 횡령); 최근 5년 체납 1,807만원; 현 체납 1,707만원"
